                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.0288,                 2.3659,                 2.1623,                0.29096,                0.26116,                0.19757,                0.05529,                  2.907,                 2.8801,                  2.739,             0.00094753,             0.00094753,             0.00094753
                     55,                 2.0539,                 2.3415,                 2.0937,                0.44721,                0.20444,                0.14097,                 0.0446,                 2.9447,                 2.8143,                 2.8221,             0.00094654,             0.00094654,             0.00094654
                     56,                 2.0507,                 2.2838,                 2.1229,                0.30343,                0.24048,                0.13209,                0.04304,                 2.9758,                  2.783,                 2.8714,             0.00094555,             0.00094555,             0.00094555
                     57,                  2.052,                 2.2431,                 2.1375,                0.35133,                0.23778,                0.16112,                0.04811,                 2.9678,                 2.6932,                 2.8764,             0.00094456,             0.00094456,             0.00094456
                     58,                   2.05,                  2.168,                 2.1014,                0.32871,                0.28108,                0.14552,                0.05368,                 2.8144,                 2.6485,                 2.7737,             0.00094357,             0.00094357,             0.00094357
                     59,                 2.0068,                 2.1972,                 2.1637,                0.41251,                0.27592,                 0.1376,                 0.0496,                 2.6541,                 2.5909,                 2.6009,             0.00094258,             0.00094258,             0.00094258
                     60,                 2.0431,                 2.2404,                  2.113,                0.41029,                0.29857,                0.13405,                0.05175,                 2.5572,                 2.5315,                 2.5014,             0.00094159,             0.00094159,             0.00094159
                     61,                 1.9716,                 2.2486,                  2.079,                0.41029,                0.29857,                0.13405,                0.05175,                 2.5572,                 2.5315,                 2.5014,              0.0009406,              0.0009406,              0.0009406
                     62,                 2.0058,                 2.2349,                 2.1509,                0.23986,                0.28244,                0.12087,                 0.0536,                 2.4701,                 2.4593,                 2.3981,             0.00093961,             0.00093961,             0.00093961
                     63,                 1.9471,                 2.1787,                  2.066,                0.46113,                0.20907,                 0.1517,                0.07012,                 2.4028,                 2.4278,                 2.4081,             0.00093862,             0.00093862,             0.00093862
                     64,                 2.0192,                 2.2349,                 2.1463,                 0.2886,                 0.2492,                0.16731,                0.06947,                 2.4138,                 2.5148,                 2.4521,             0.00093763,             0.00093763,             0.00093763
                     65,                  1.976,                 2.2564,                 2.0973,                  0.295,                0.27437,                  0.146,                0.06199,                 2.4166,                 2.5967,                 2.4569,             0.00093664,             0.00093664,             0.00093664
                     66,                 1.9776,                 2.1587,                 2.1045,                0.28835,                0.29996,                0.11691,                0.04752,                 2.4876,                 2.5653,                 2.4393,             0.00093565,             0.00093565,             0.00093565
                     67,                 1.9813,                 2.1669,                 2.1362,                0.35873,                0.23168,                0.11278,                 0.0486,                 2.5298,                 2.9389,                 2.5536,             0.00093466,             0.00093466,             0.00093466
                     68,                 1.9499,                 2.1912,                 2.0271,                0.04728,                0.38918,                0.07764,                0.03486,                 2.5251,                 3.4363,                 2.5398,             0.00093367,             0.00093367,             0.00093367
                     69,                 1.9432,                 2.2485,                 2.0731,                0.37017,                0.29335,                0.11265,                0.04925,                 2.5251,                 3.4363,                 2.5398,             0.00093268,             0.00093268,             0.00093268
