                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.6286,                 2.9345,                 2.0798,                 1.4163,                0.09681,                0.42593,                0.10961,                0.02022,                0.06551,                0.37037,                0.04842,                 0.0095,                 3.5781,                 3.9659,                 6.9932,                 1.1602,              0.0016142,              0.0016142,              0.0016142
                     34,                 2.7423,                  2.586,                 2.1275,                 1.4035,                0.52652,                0.12963,                0.02452,                0.00594,                0.09795,                0.18519,                0.03946,                0.00595,                 4.0994,                 3.9611,                 7.6069,                 1.3428,              0.0016125,              0.0016125,              0.0016125
                     35,                 2.9299,                 2.0098,                 2.2043,                 1.3432,                0.52652,                0.12963,                0.02452,                0.00594,                0.09795,                0.18519,                0.03946,                0.00595,                 4.0994,                 3.9611,                 7.6069,                 1.3428,              0.0016109,              0.0016109,              0.0016109
                     36,                 2.7193,                 2.3635,                 2.1536,                 1.4347,                0.08932,                0.35185,                0.05832,                0.01179,                0.08534,                0.16667,                0.07743,                0.01527,                 3.7896,                 2.9069,                 5.8725,                 1.1309,              0.0016092,              0.0016092,              0.0016092
                     37,                 2.6486,                 2.1337,                 2.1617,                 1.4483,                0.08932,                0.35185,                0.05832,                0.01179,                0.08534,                0.16667,                0.07743,                0.01527,                 3.7896,                 2.9069,                 5.8725,                 1.1309,              0.0016076,              0.0016076,              0.0016076
                     38,                 2.7036,                  2.009,                 2.0069,                 1.3103,                0.00349,                0.07407,                0.00275,                0.00064,                0.00142,                0.07407,                0.00101,                0.00023,                 5.1315,                 3.1845,                 3.7827,                 1.8761,              0.0016059,              0.0016059,              0.0016059
                     39,                 2.6436,                 2.0869,                 2.0584,                 1.3823,                0.00349,                0.07407,                0.00275,                0.00064,                0.00142,                0.07407,                0.00101,                0.00023,                 5.1315,                 3.1845,                 3.7827,                 1.8761,              0.0016043,              0.0016043,              0.0016043
                     40,                 2.6913,                 2.4114,                 2.1583,                 1.3594,                0.00349,                0.07407,                0.00275,                0.00064,                0.00142,                0.07407,                0.00101,                0.00023,                 5.7335,                 2.7935,                 5.1575,                 2.6002,              0.0016026,              0.0016026,              0.0016026
                     41,                  2.694,                 2.0364,                 2.0448,                 1.4185,                0.00349,                0.07407,                0.00275,                0.00064,                0.00142,                0.07407,                0.00101,                0.00023,                 5.7335,                 2.7935,                 5.1575,                 2.6002,               0.001601,               0.001601,               0.001601
                     42,                  2.634,                 2.1227,                 2.0802,                 1.3317,                0.01154,                0.01852,                0.00128,                0.00017,                0.01154,                0.01852,                0.00135,                0.00029,                 5.3332,                 3.7805,                 60.536,                 2.6183,              0.0015993,              0.0015993,              0.0015993
                     43,                 2.6942,                 2.0894,                 2.2659,                 1.3203,                0.01154,                0.01852,                0.00128,                0.00017,                0.01154,                0.01852,                0.00135,                0.00029,                 5.3332,                 3.7805,                 60.536,                 2.6183,              0.0015977,              0.0015977,              0.0015977
                     44,                 2.5254,                 2.2198,                  2.002,                 1.3629,                 0.0076,                0.03704,                0.00197,                0.00038,                 0.0152,                0.07407,                0.00487,                0.00069,                 4.7737,                 3.1288,                 6.6548,                  2.177,               0.001596,               0.001596,               0.001596
                     45,                 2.5006,                 1.8684,                  2.011,                 1.3127,                 0.0076,                0.03704,                0.00197,                0.00038,                 0.0152,                0.07407,                0.00487,                0.00069,                 4.7737,                 3.1288,                 6.6548,                  2.177,              0.0015944,              0.0015944,              0.0015944
                     46,                 2.5586,                 1.9167,                 1.9405,                  1.394,                0.02002,                0.24074,                0.01344,                0.00259,                0.03914,                0.14815,                0.01986,                0.00334,                 3.8401,                 2.3901,                 5.4204,                 1.2401,              0.0015927,              0.0015927,              0.0015927
                     47,                 2.7634,                 2.7244,                  1.962,                 1.2459,                0.02002,                0.24074,                0.01344,                0.00259,                0.03914,                0.14815,                0.01986,                0.00334,                 3.8401,                 2.3901,                 5.4204,                 1.2401,              0.0015911,              0.0015911,              0.0015911
                     48,                 2.6657,                 2.2844,                      2,                 1.2665,                0.03652,                0.37037,                 0.0281,                0.00622,                0.02465,                0.16667,                 0.0108,                0.00184,                 3.5227,                 2.5679,                 6.3716,                 1.0377,              0.0015894,              0.0015894,              0.0015894
                     49,                 2.8076,                 2.3276,                 1.9142,                 1.3653,                0.03652,                0.37037,                 0.0281,                0.00622,                0.02465,                0.16667,                 0.0108,                0.00184,                 3.5227,                 2.5679,                 6.3716,                 1.0377,              0.0015878,              0.0015878,              0.0015878
                     50,                 2.6972,                 2.3611,                  1.976,                 1.3351,                0.05928,                0.11111,                 0.0528,                0.01245,                0.09237,                0.15775,                0.05742,                0.01023,                 3.5081,                 2.2089,                 4.1602,                  1.081,              0.0015861,              0.0015861,              0.0015861
                     51,                 2.6214,                 1.8765,                 1.9346,                 1.4006,                0.05928,                0.11111,                 0.0528,                0.01245,                0.09237,                0.15775,                0.05742,                0.01023,                 3.5081,                 2.2089,                 4.1602,                  1.081,              0.0015845,              0.0015845,              0.0015845
                     52,                 2.7796,                 1.8311,                 1.8684,                   1.25,                0.03092,                0.11111,                0.01977,                0.00432,                 0.0334,                0.12963,                0.02105,                0.00483,                 3.7073,                 2.4255,                 3.2442,                 1.2104,              0.0015828,              0.0015828,              0.0015828
                     53,                 2.6307,                 1.7597,                 1.8924,                 1.3872,                0.03092,                0.11111,                0.01977,                0.00432,                 0.0334,                0.12963,                0.02105,                0.00483,                 3.7073,                 2.4255,                 3.2442,                 1.2104,              0.0015812,              0.0015812,              0.0015812
                     54,                 2.4867,                 1.8337,                 1.7715,                  1.371,                0.12299,                0.22222,                0.08429,                0.01353,                 0.0783,                0.16667,                0.05697,                0.00996,                 3.3836,                 2.7561,                 2.9545,                 1.1395,              0.0015795,              0.0015795,              0.0015795
                     55,                  2.607,                 1.7587,                 1.8968,                 1.1744,                0.12299,                0.22222,                0.08429,                0.01353,                 0.0783,                0.16667,                0.05697,                0.00996,                 3.3836,                 2.7561,                 2.9545,                 1.1395,              0.0015779,              0.0015779,              0.0015779
                     56,                 2.7426,                 2.0091,                 1.9574,                 1.3285,                0.23122,                0.40624,                 0.2366,                0.05167,                 0.1811,                0.38889,                0.16202,                0.03019,                 3.4096,                 2.4211,                 2.0779,                0.97409,              0.0015762,              0.0015762,              0.0015762
